title	director	if_female	source	if_english	if_musical	if_watched	length	link	comments	famous names	theatre
Our Generation	Daniel Evans	0	nta	1	0	0		https://www.ntathome.com/our-generation	-		
Paradise	Ian Rickson	0	nta	1	0	0	2h	https://www.ntathome.com/paradise	same babki		
People, Places & Things	 Jeremy Herrin	0	nta	1	0	0		https://www.ntathome.com/people-places-and-things	-		
Peter Pan	Sally Cookson	1	nta	1	0	0		https://www.ntathome.com/peter-pan	-		
Phaedra	 Simon Stone	0	nta	1	0	0		https://www.ntathome.com/phaedra	seneka		
Phèdre	Nicholas Hytner	0	nta	1	0	0		https://www.ntathome.com/phedre	to co wyzej	helen mirren	
Present Laughter	Matthew Warchus 	0	nta	1	0	1		https://www.ntathome.com/present-laughter	-	andrew scott	old vic
Rockets and Blue Lights	Miranda Cromwell	1	nta	1	0	0	2h03min	https://www.ntathome.com/rockets-and-blue-lights	-		
Romeo & Juliet	simon Godwin	0	nta	1	0	0	1h35min	https://www.ntathome.com/romeo-juliet	-	jesse buckley, josh o'connor	
Salome	Yaël Farber 	1	nta	1	0	0		https://www.ntathome.com/salome	-		
The Beaux' Stratagem	simon Godwin	0	nta	1	0	0	2h25min	https://www.ntathome.com/the-beaux-stratagem	-		
The Boy with Two Hearts	Amit Sharma	0	nta	1	0	0		https://www.ntathome.com/the-boy-with-two-hearts	-		
The Cherry Orchard	Howard Davies	0	nta	1	0	0		https://www.ntathome.com/the-cherry-orchard	-		
The Corn Is Green	Dominic Cooke	0	nta	1	0	0		https://www.ntathome.com/the-corn-is-green	-	nicola walker!!	
The Crucible	Lyndsey Turner	1	nta	1	0	0		https://www.ntathome.com/the-crucible	proces czarownic z salem		
A planety szaleją...	Anna Sroka-Hryń	1	tt	0	1	0		https://teatrtv.vod.tvp.pl/85055488/a-planety-szaleja	dyplom, piosenki Maanamu		
ADHD i inne cudowne zjawiska	Joanna Szczepkowska	1	tt	0	0	0		https://teatrtv.vod.tvp.pl/84747400/adhd-i-inne-cudowne-zjawiska	-		
Apetyt na czereśnie	Anna Sroka-Hryń	1	tt	0	1	0		https://teatrtv.vod.tvp.pl/84988189/apetyt-na-czeresnie	piosenki Osieckiej		
Apollo z Bellac	Anna Wieczur	1	tt	0	0	0		https://teatrtv.vod.tvp.pl/85058164/apollo-z-bellac	niby komedia		
Cudzoziemka	Katarzyna Minkowska	1	tt	0	0	0		https://teatrtv.vod.tvp.pl/84517602/cudzoziemka	widziałam i wspaniałe!!		
Dama z łasiczką	Katarzyna Łęcka	1	tt	0	0	0		https://teatrtv.vod.tvp.pl/85172538/dama-z-lasiczka	o Simonie Kossak		
Dziady. Śladami Adama Mickiewicza	Magdalena Małecka-Wippich	1	tt	0	0	0		https://teatrtv.vod.tvp.pl/85070479/dziady-sladami-adama-mickiewicza	reżyserka jednej części, reszta typy		
Dziecko	Barbara Białowąs	1	tt	0	0	0	45min	https://teatrtv.vod.tvp.pl/84517662/dziecko	dramat Ingi Iwasiów		
Dzień dobry, wszyscy umrzemy	Joanna Kaczmarek	1	tt	0	0	0	50min	https://teatrtv.vod.tvp.pl/85171269/dzien-dobry-wszyscy-umrzemy	-		
Krzywy domek	Anna Wieczur	1	tt	0	0	0	77min	https://teatrtv.vod.tvp.pl/85173080/krzywy-domek	-		
Matki. Pieśń na czas wojny	Marta Górnicka	1	tt	0	NA	0	55min	https://teatrtv.vod.tvp.pl/84795419/matki-piesn-na-czas-wojny	-		
Melodramat	Anna Smolar	1	tt	0	0	0	120min	https://teatrtv.vod.tvp.pl/85735369/melodramat	wiersze N. Fiedorczuk		
Nie ma	Agnieszka Lipiec-Wróblewska	1	tt	0	0	0	75min	https://teatrtv.vod.tvp.pl/84923314/nie-ma	adaptacja Szczygła		
Orka	Joanna Zdrada	1	tt	0	0	0	75min	https://teatrtv.vod.tvp.pl/85129966/orka	-		
Pierwsza lepsza	Magdalena Małecka-Wippich	1	tt	0	0	0	58min	https://teatrtv.vod.tvp.pl/84961215/pierwsza-lepsza	Aleksaner Fredro		
Pogo	Kinga Dębska	1	tt	0	0	0	90min	https://teatrtv.vod.tvp.pl/84794679/pogo	monodram o ratowniku medycznym		
Powrót do Reims	Katarzyna Kalwat	1	tt	0	0	0	78min	https://teatrtv.vod.tvp.pl/84502618/powrot-do-reims	eribon		
Pustostan	Tatiana Logojda	1	tt	0	0	0	50min	https://teatrtv.vod.tvp.pl/85151346/pustostan	-		
Spalenie Joanny	Agata Baumgart	1	tt	0	0	0	51min	https://teatrtv.vod.tvp.pl/85191582/spalenie-joanny	o reprywatycji i Brzeskiej		
Sprawa Rity G.	Daria Kopiec	1	tt	0	0	0	55min	https://teatrtv.vod.tvp.pl/85050740/sprawa-rity-g	o Gorgonowej		
Stryjeńska. Let's dance, Zofia	Anna Duda	1	tt	0	0	0	59min	https://teatrtv.vod.tvp.pl/85093515/stryjenska-lets-dance-zofia	monodram		
Upiory	Anna Augustynowicz	1	tt	0	0	0	85min	https://teatrtv.vod.tvp.pl/84832707/upiory	-		
W maju się nie umiera	Anna Gryszkówna	1	tt	0	0	0	82min	https://teatrtv.vod.tvp.pl/84517560/w-maju-sie-nie-umiera	matka Grzegorza Przemyka, zakatowanego przez MO		
Wiara nadzieja miłość	Agnieszka Glińska	1	tt	0	0	0	66min	https://teatrtv.vod.tvp.pl/84977410/wiara-nadzieja-milosc	-		
Wizyta starszej pani	Małgorzata Bogajewska	1	tt	0	0	0	82min	https://teatrtv.vod.tvp.pl/84796012/wizyta-starszej-pani	-		
